,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
192607,3.7782,-0.4119,-1.9434,0.353,2.0534,2.1904,2.4192,0.4926,-1.577,-0.3344,1.9116,2.4336,0.0053,3.4572,-1.2629,1.5893,1.5278,1.1869,0.2727,2.4678,3.4539,6.0902,2.0266,3.1111,0.5623
192608,-2.2074,-8.7275,2.4404,0.6086,8.3968,2.1709,-1.1849,4.0084,0.4643,6.1675,-0.939,2.3886,1.9681,4.445,8.1169,1.3336,3.873,2.0059,2.1706,5.3422,1.0124,4.1903,2.0131,5.4849,7.7576
192609,-6.2113,-0.2989,-6.1982,-1.6368,0.8649,-1.855,-1.2618,1.0829,-3.0405,-0.9401,-0.3898,0.169,-2.1368,2.6865,-3.6215,1.0923,-0.525,-1.7314,1.4646,0.873,-1.2906,3.6538,0.095,-0.7487,-2.4284
192610,-8.6241,-3.7532,-5.6719,5.717,-2.5476,-1.7995,-3.2663,-5.0745,-8.045,-1.3213,-5.1161,-2.5583,0.267,-1.9818,-3.1373,-3.3361,-2.6559,-2.0316,-3.1051,-5.3525,-2.7413,-3.0071,-2.2437,-4.6719,-5.8129
192611,3.4744,6.6476,2.2634,-4.702,0.5362,2.9051,-2.369,3.0078,4.6649,2.7292,1.9107,4.5467,0.0854,5.1183,3.7333,3.4448,2.3887,3.7403,4.932,1.8213,4.2946,2.5326,1.5204,3.6619,2.5636
192612,13.9458,-1.9772,0.1384,3.6213,0.8556,3.3002,4.7507,1.2089,2.6527,5.198,-1.3186,2.3963,-1.2709,2.8578,1.5349,3.4702,2.6069,1.7491,3.0306,0.1578,1.4887,3.4585,1.9777,6.2357,2.4024
192701,0.4474,-8.2999,-4.7873,3.2267,2.0166,2.56,-4.2365,-0.064,-0.6724,11.057,-0.6319,-0.22,-0.6624,2.5541,2.5541,2.3758,1.4701,-0.5123,0.2313,7.3063,-0.7756,0.3281,-0.4374,0.5498,4.2141
192702,2.4884,-0.3049,10.9741,3.7465,10.2076,1.9606,8.6948,7.8557,4.4523,7.5867,6.1214,5.5311,4.6092,6.4766,13.2797,5.2914,4.2655,2.3492,6.7788,11.4693,3.4545,5.0906,3.4173,5.1264,6.2731
192703,6.3998,-1.7464,-7.8293,-2.3738,-3.5735,-1.7896,-0.5186,-2.0169,-0.5881,-0.5481,0.5222,-3.5673,-0.6606,-2.1581,-5.9028,-2.2017,0.1638,-1.3351,-1.3877,3.889,0.5845,1.9822,-0.1206,0.4765,-3.8361
192704,5.8363,7.8111,4.0238,3.58,6.4218,-2.3282,-4.9472,-0.2997,-0.4565,4.4712,-2.2887,1.3977,-1.5558,2.3009,1.7466,-0.2637,1.8622,-1.0146,0.0794,5.753,2.6984,0.8929,-0.2989,-0.4236,-3.5345
192705,9.0109,9.0399,1.0376,16.3651,10.0697,7.6684,2.4486,5.4286,8.7178,13.453,3.0289,6.6737,6.0863,7.1403,12.9147,4.8501,6.1769,3.8321,7.1732,7.7199,5.6929,4.6786,5.5318,5.4185,4.7762
192706,-3.6452,12.1487,-6.8399,-2.1321,-4.4903,3.4836,3.1417,4.566,-0.4032,-6.3846,-0.6943,-3.6414,-1.0473,-0.0329,1.7373,1.0302,-3.2201,-3.5319,-2.2869,1.9683,-0.0607,-3.1371,-2.7494,-3.0453,-5.3613
192707,24.4089,11.6607,4.6663,2.1155,5.4903,5.6673,6.9927,4.0996,7.4765,4.0386,2.7386,5.8245,6.0807,2.6231,8.8516,6.743,6.9138,7.0503,7.5109,1.4324,11.3288,5.7944,6.6541,8.5879,13.4463
192708,11.7732,3.7427,0.796,-0.8622,1.3677,0.9771,-2.6027,-1.773,0.708,5.1792,0.3843,2.0226,2.6592,-2.6535,-5.4249,4.8641,3.5513,0.9982,-2.6278,-6.311,5.5475,1.2272,0.4897,0.8744,3.9099
192709,-4.9477,-6.1671,0.5161,-0.4313,0.6835,2.7947,7.9706,3.3378,1.4024,-1.0265,3.4372,0.1308,1.4113,2.166,9.2306,4.1889,3.1316,4.9157,4.2554,9.8708,6.1583,4.0775,5.5837,3.9928,5.5923
192710,-8.8937,-9.5653,-2.2257,-4.3552,-10.117,2.3056,-1.0019,0.1023,-3.7709,-4.3916,-0.6665,-1.6297,0.1021,-3.983,-10.0271,0.5125,-1.9353,-2.6703,-4.7038,-11.781,-5.0438,-2.2322,-4.1542,-6.4498,-14.5457
192711,6.8966,13.8113,16.53,8.277,12.1263,14.1996,15.1979,8.1785,9.4652,8.4672,6.3767,8.645,8.9856,6.2134,9.8739,7.6668,8.4366,7.6681,7.7686,8.101,7.0786,6.5042,5.9958,7.0421,8.0776
192712,-3.9895,2.5682,3.8034,3.4057,6.9476,4.9187,3.7364,2.3803,3.4131,-0.3356,4.5671,4.6301,4.4977,3.8541,11.3299,0.0688,5.5596,4.3273,1.6662,-2.3196,2.8565,1.3058,1.2653,2.449,10.3769
192801,-8.2364,10.1994,5.0289,1.6917,9.9855,1.3515,3.8725,0.3039,5.278,2.2786,4.8614,2.7913,3.8763,2.2872,-5.8473,1.7794,1.0807,0.2716,2.2149,0.3207,-1.2721,-0.2557,-0.6328,-1.6406,-5.0648
192802,0.6463,-2.9935,5.7752,2.8665,-4.8289,-5.778,-2.0575,-2.5744,-1.9696,-5.6043,-2.5599,-1.9367,-3.0252,-2.3431,-6.2804,-4.7542,-0.8688,-2.0537,-3.0113,-8.524,-0.1501,-0.6324,-0.4929,-2.1203,-1.3892
192803,40.0538,-1.163,2.0746,-2.5679,8.9589,4.7209,11.7987,6.8588,7.8299,14.3977,6.4521,11.7292,10.048,2.789,11.7466,16.3755,9.0919,5.4936,7.7651,7.908,15.7618,5.2287,6.6552,5.6532,16.7279
192804,-12.8663,8.4567,17.1059,2.8104,15.5896,0.3536,23.2107,3.6931,4.5551,10.4199,7.935,4.518,7.4813,4.3032,6.989,5.2402,4.95,2.3826,4.5398,3.7146,1.424,6.804,6.6218,2.77,3.3096
192805,17.7179,0.3515,4.3676,14.6379,5.7369,2.0846,3.8072,5.544,5.8186,3.2917,2.7653,6.8507,1.6906,-1.9153,-3.1876,5.3993,-0.3854,1.1098,1.1637,2.1587,2.0904,2.138,-0.5398,1.2095,-3.8808
192806,-19.2709,-7.4184,-13.2701,-9.2805,-9.4437,-5.7393,-9.2721,-8.613,-7.479,-6.1054,-6.4146,-4.6534,-7.4309,-7.0294,-6.883,-7.1399,-5.5156,-3.4289,-5.7935,-5.8891,-3.0501,-3.6311,-3.5131,-4.8622,-9.112
192807,-2.0217,3.5783,5.3781,2.036,-0.3159,1.0836,-3.766,-1.2704,0.7975,-2.6328,-0.1175,-0.3073,-0.679,0.3334,1.481,0.8287,-0.6082,1.326,1.5005,0.868,1.5815,0.2324,0.1677,0.2981,0.7709
192808,7.5257,0.5454,4.1219,2.1206,3.5138,6.8023,3.8248,3.9212,3.2564,5.0486,5.3797,9.0259,8.4449,4.1657,8.0357,10.1565,8.1583,6.4443,7.8532,7.7317,8.6838,6.5887,5.2701,4.4373,4.9839
192809,3.7129,3.1614,1.9913,-0.2092,13.4251,3.1124,2.6504,5.7104,5.0156,13.0384,4.2094,4.7312,5.4875,6.4449,2.8381,5.872,6.4645,2.9592,3.0408,5.9184,3.3442,1.0239,2.2561,0.5861,6.959
192810,-3.9425,-3.8706,4.3844,3.7426,6.4494,4.9618,3.0676,2.1927,1.3937,0.6282,5.5807,4.9745,2.62,0.2244,-1.7486,0.7367,-1.022,-1.7468,4.7413,-3.6579,1.5307,2.9072,1.3468,-0.3684,4.7495
192811,3.8603,30.1944,7.7079,16.7282,12.7121,6.6986,7.8768,10.5233,13.4891,8.9905,8.7142,11.3499,18.7077,13.573,15.962,11.1748,11.8047,9.7497,7.7142,14.2633,11.5523,10.447,16.0161,9.1268,17.8916
192812,-5.4317,-7.6129,-5.4498,-2.4336,-1.7584,-2.0855,-2.6779,-0.4664,-4.1034,0.6437,3.7311,-0.113,1.0567,1.3172,-0.0004,3.1308,3.7035,0.3174,1.8959,-3.3414,0.5488,1.1329,-1.039,1.2815,0.3681
192901,2.9249,8.2497,-4.6113,5.9949,5.085,3.051,1.4272,1.7342,-0.2831,0.4178,1.4615,4.7587,-4.7563,3.8886,2,4.6353,4.8862,3.7195,1.2154,1.1437,6.5712,10.2483,2.3079,4.9558,0.0249
192902,0.9617,-7.9993,-3.1236,0.0022,-1.335,-3.2503,1.8518,3.8102,0.6559,4.7822,1.2593,0.1955,0.591,3.9779,0.3155,-1.331,1.4211,3.5099,0.3941,1.9268,-0.7916,1.0302,0.4413,0.7335,3.4624
192903,-14.5269,-0.6033,-2.937,-4.802,-2.2935,-4.076,-5.8595,-5.3253,-2.357,-4.0309,-7.0473,-4.9069,-2.7999,-3.2893,-5.5557,-4.4913,-5.1368,0.2326,-1.23,-1.1298,-0.1714,0.784,3.5141,0.0416,0.7663
192904,-4.4228,-8.8377,-0.2482,7.4085,-1.9532,0.0014,0.8046,4.5814,-2.2911,2.7034,1.0786,0.6879,3.7299,-0.2621,1.4354,3.0552,0.2672,-0.4971,1.7735,4.5725,2.0952,2.86,0.8808,0.807,2.8638
192905,-21.8773,-6.4153,-17.4473,-15.5732,-12.9566,-11.2609,-11.7596,-7.9703,-13.3411,-14.2671,-6.2961,-10.504,-8.0171,-9.368,-8.8632,-7.3537,-10.5007,-3.2425,-5.0181,0.938,-5.633,-5.9171,-3.0771,-2.6958,-1.6714
192906,15.9956,4.0699,4.0079,6.8584,6.7252,3.6693,6.7134,11.3249,4.2488,6.3666,6.979,10.8677,10.0664,7.928,8.8555,13.2732,10.745,11.0638,9.1239,3.5929,11.9075,13.6428,7.9115,7.7838,4.7418
192907,1.239,-5.2223,-3.5738,-8.9964,2.3089,-2.2962,2.4271,-1.5928,0.3667,6.216,0.4357,3.7091,1.3018,-0.3775,10.7093,1.8868,3.1061,1.7687,2.4422,4.4353,2.9497,6.5495,5.9956,8.4802,5.1378
192908,-4.1263,-4.2272,-9.37,4.6324,-4.6987,-1.2892,0.4637,0.334,0.8486,-0.5221,1.7465,0.6631,5.722,1.9039,-0.2876,3.3402,0.2874,3.8821,5.3704,7.7631,6.7578,13.0514,13.3057,13.4117,6.8157
192909,-10.3134,-2.4655,-8.8359,-5.8301,-9.8426,-7.5726,-2.8525,-4.7079,-6.0842,-2.095,-9.261,0.0135,-2.2233,-3.5123,-0.6119,-0.8643,1.2457,-4.2763,-4.0748,-7.2368,-5.6283,-3.812,-4.0339,-7.1977,-6.8662
192910,-26.2937,-23.6557,-18.5978,-23.7403,-16.9079,-19.6051,-19.093,-22.7131,-16.0753,-17.429,-28.2612,-20.3218,-12.6576,-15.3248,-19.0514,-29.2963,-23.1909,-16.3109,-13.4348,-17.0225,-24.6689,-20.3578,-13.1589,-10.5988,-7.4875
192911,-1.3563,-19.1373,-4.5325,-15.8807,-15.5459,-19.3908,-14.8777,-9.7865,-10.2741,-14.0298,-14.0294,-12.9066,-7.7886,-8.6055,-12.2012,-14.9201,-14.8344,-7.4549,-8.7952,-11.3882,-13.1881,-16.8699,-10.0958,-9.6514,-6.3322
192912,-0.4171,-12.1883,-8.5522,-7.9945,-3.1236,-4.7068,-6.2239,-7.3655,0.5299,-4.5194,-2.0972,-0.9108,2.5184,-2.5041,5.3308,2.3324,-3.2037,-2.6856,0.6247,10.9509,3.792,3.5643,0.4456,0.6386,0.8787
193001,-2.7769,11.075,22.7188,11.8021,10.9299,7.8448,12.0906,8.9512,4.7055,14.5598,9.6247,10.6585,4.2805,6.3256,4.1286,8.452,4.6533,5.5572,3.4816,3.9395,6.8371,7.6055,0.6769,4.9891,-0.4104
193002,16.9723,12.9767,-1.7111,-1.4082,2.756,-1.9117,2.3173,4.1591,1.4123,5.239,1.7809,3.1474,2.0982,3.604,2.8365,2.6019,8.5219,-1.3552,0.2799,1.0041,2.9883,4.548,1.1713,1.4888,4.9676
193003,22.8187,-1.7515,6.8902,16.7068,11.7961,6.2672,4.6523,14.085,8.364,5.5369,9.5191,8.4823,7.9646,8.1868,14.1204,8.5857,5.6644,7.3459,12.1547,10.9418,6.5076,6.1455,11.4727,4.4912,2.1312
193004,-6.9121,-3.8152,-6.9974,-7.7391,-5.3932,-8.8133,-4.798,-3.1293,-3.8649,-5.1737,-3.8056,-4.3531,-4.8435,-3.233,-2.4801,-2.5085,-6.5872,-5.3348,-5.1203,-4.4542,-0.8256,-3.3276,0.0444,-6.1794,-7.3356
193005,-2.4085,-13.7162,3.6605,-5.1405,-6.2496,-5.8346,-1.5137,-5.2674,-4.3309,-2.5617,-3.6907,-0.5319,-3.9294,-2.4145,0.3779,-2.7179,-3.6306,-3.4341,-0.1329,-4.8121,0.7935,0.0636,-2.0419,-1.5224,-0.7952
193006,-13.4475,-19.5772,-16.4967,-15.2347,-20.9092,-23.7959,-17.5658,-16.7456,-17.3954,-18.7022,-14.4283,-17.9878,-14.533,-13.8237,-17.5016,-21.489,-18.5937,-15.6324,-14.1465,-18.5017,-17.7473,-16.7821,-13.4031,-9.5365,-9.6586
193007,2.6405,4.0962,12.9011,2.8435,1.0995,7.8436,6.3313,4.9914,2.8862,0.8179,6.2628,5.743,3.3278,4.8204,2.86,4.8326,4.7672,3.8751,1.9223,1.8338,5.2032,3.8587,3.4147,2.4026,10.2405
193008,-9.329,-8.5398,-3.2926,-5.968,-3.5783,-3.7641,0.3784,-0.8875,-2.6803,-0.9432,-2.6558,-1.2847,-1.8241,-1.1936,-1.1033,1.7901,-0.3865,-1.5971,-2.6999,3.1467,1.351,-0.4376,0.4483,-1.5645,-24.0437
193009,-30.8037,-33.7274,-29.979,-19.3383,-19.5865,-14.4077,-14.2594,-14.4433,-15.6804,-19.7007,-12.6977,-14.6166,-12.0333,-15.533,-21.7125,-12.6098,-14.7606,-12.7992,-12.8347,-17.6075,-12.6289,-11.6709,-9.3752,-14.6559,-28.0576
193010,-31.8635,-9.2415,-6.8098,-14.992,-9.8368,-6.125,-11.4794,-10.3726,-9.7261,-8.3386,-13.8209,-8.9189,-5.9314,-11.4367,-18.7547,-11.1958,-9.4778,-8.0558,-11.3286,-12.7708,-10.0434,-6.8773,-6.8661,-8.786,-20
193011,22.0966,-15.4883,-4.4972,-1.2823,-3.8453,-6.5242,1.9767,-3.7353,-2.5188,-4.3808,-0.9718,-0.4854,-2.4579,2.0941,-5.5072,-0.8203,0.6772,-2.2174,-4.7826,-2.5984,-2.4435,-1.4559,-4.9502,-7.3212,-12.5
193012,-20.1288,-25.1568,-24.3865,-14.2104,-17.0565,-14.2965,-11.39,-12.9925,-16.5179,-18.6109,-5.0958,-9.0286,-7.6491,-11.5397,-17.5956,-7.4793,-9.5576,-11.171,-10.578,-12.4449,-5.4332,-8.1122,-7.2986,-10.8463,-30
193101,-26.5566,22.1097,15.7748,16.8375,19.7393,13.232,11.2384,12.9729,14.4569,15.7537,11.1029,8.7442,9.5172,8.1815,18.8467,7.2542,7.2408,4.6468,8.2604,11.4429,4.3612,4.628,7.6666,17.0431,34.6939
193102,21.4578,20.6779,48.6609,23.9869,23.8714,9.7005,11.054,10.7717,11.5623,15.433,15.3071,14.5469,12.7887,10.7057,12.5929,13.5011,11.9562,8.1787,5.654,17.826,13.8851,9.0614,5.0416,7.1083,42.4242
193103,-8.788,0.7521,-1.78,-4.3242,-8.726,-1.5484,-8.4131,4.2981,-5.6663,1.5067,-0.6672,-7.3831,-4.0039,-5.1014,-12.6798,-6.2395,-6.4748,-8.404,-9.4466,-9.0077,-3.7301,-8.3197,-9.6583,-11.0548,-19.6809
193104,-17.516,-25.6785,-23.8191,-14.8757,-16.0562,-16.6512,-17.3893,-11.8188,-14.5941,-20.8514,-11.8992,-13.9425,-12.978,-18.0338,-17.6793,-13.4246,-11.0031,-15.2323,-12.8379,-5.5499,-9.0074,-8.2543,-10.5875,-10.3096,-23.8411
193105,-10.8489,1.2585,-15.8782,-11.6179,-15.9272,-7.6612,-8.2087,-5.7563,-11.1129,-12.0389,-16.6876,-12.9254,-9.4183,-13.0784,-16.4866,-10.2133,-12.4633,-16.2241,-25.6241,-29.4732,-11.6142,-11.3412,-17.9126,-18.4091,-22.6087
193106,25.0239,6.8787,14.0651,15.2672,17.6121,9.5076,8.2836,1.3835,12.3569,21.0973,13.8253,11.3144,7.7567,18.5601,28.2694,14.2066,15.0727,18.6859,30.5194,33.8871,12.8132,13.9683,15.2704,22.1221,40.4494
193107,-6.3445,-11.4113,-9.6939,-7.7922,-4.9578,-5.2584,-5.3039,-7.4328,-6.129,-7.3422,-6.3485,-7.6105,-9.9132,-8.4759,-12.8129,-5.3204,-4.9202,-8.2726,-9.0779,-13.5493,-5.3258,-6.9,-11.2421,-12.7018,0
193108,-13.22,-0.2852,-5.0247,-5.0575,-5.3727,4.7199,-0.5336,3.2641,-1.6099,-4.4842,-0.7386,-0.7035,-1.3926,-3.2907,-4.6482,-0.9229,-1.9039,1.8384,3.7954,6.6549,0.0614,1.7901,-1.0877,-3.2538,8.4337
193109,-49.473,-30.5381,-28.4077,-35.6945,-31.5881,-26.5943,-25.1307,-35.2638,-30.4489,-37.3877,-26.9818,-30.4951,-31.3505,-33.2898,-33.9136,-29.6167,-25.0885,-29.7345,-34.0692,-41.4557,-29.28,-24.8694,-31.7819,-33.3005,-45.5556
193110,12.6793,-3.0079,0.5496,9.1667,6.425,7.0723,1.3821,8.8441,7.5305,12.7797,0.9303,13.4218,11.0331,8.8274,6.6358,9.0501,6.2414,11.6314,12.2502,13.131,9.3606,6.8623,0.8149,3.8812,20.4082
193111,-23.9803,-22.2863,-10.2839,-7.5258,-11.8178,-12.8176,-7.5193,-7.837,-5.4125,-11.0263,-6.2023,-9.4867,-5.153,-11.0222,-10.6534,-7.6442,-3.7603,-11.2361,-13.6099,-11.4839,-5.8113,-10.9506,-20.3201,-21.5714,-6.7797
193112,-25.3044,-2.9122,-19.4012,-27.4779,-25.1205,-9.0769,-12.4153,-14.3556,-18.538,-24.1234,-14.5467,-18.1031,-17.5681,-14.995,-15.6856,-10.9297,-13.9211,-11.1588,-21.5493,-25.7755,-10.5654,-16.3246,-21.8992,-22.9408,-30.9091
193201,5.5527,-5.9907,8.3063,14.8028,6.1029,-0.3044,-1.3482,5.4795,14.3969,18.3762,1.1941,3.7308,2.7428,-1.6891,5.514,-3.5957,-0.3956,-0.5579,3.8507,1.9409,-3.6929,-1.7499,3.3213,10.9191,7.8947
193202,-12.7896,-0.0154,5.881,-2.3234,3.5727,-5.4119,3.2908,-2.3221,-4.5816,-1.1353,0.4535,3.2113,2.3879,0.2285,-1.4858,3.4293,5.2088,-1.3997,1.2611,3.7601,7.2592,5.66,3.2597,-3.317,14.6341
193203,-23.0216,-3.9056,-3.2485,-10.2904,-12.41,-4.8922,-14.1355,-11.4193,-4.3036,-13.2422,-8.6836,-14.4244,-11.553,-13.3842,-10.9956,-10.6974,-10.9531,-11.3353,-12.3945,-10.1478,-10.971,-10.2975,-14.3073,-23.2023,2.1277
193204,-40.762,-16.8293,-25.8159,-20.0186,-17.8749,-19.9193,-8.1414,-14.405,-17.453,-14.3736,-17.9453,-13.5659,-15.0516,-16.3965,-22.3498,-15.1155,-15.6276,-17.4525,-14.2341,-15.2035,-18.1767,-20.5995,-19.3341,-22.1641,-22.9167
193205,-12.8641,-35.2372,-5.8922,-9.178,-8.7917,-11.9878,-21.7501,-22.0395,-18.846,-20.4772,-23.7773,-23.5621,-26.9984,-24.0855,-26.4443,-20.9668,-20.1651,-18.1172,-18.579,-27.9405,-20.4176,-16.8192,-31.4962,-36.7136,-10.8108
193206,35.7939,-16.9948,5.3018,-5.5445,-3.6625,-8.6164,-4.7937,-5.1464,12.4391,6.5301,6.3959,4.5848,7.2774,5.2316,0.9372,1.7482,3.4205,-4.7307,9.3777,0.4792,-3.1255,-0.3215,5.0904,9.1629,21.2121
193207,147.5,14.3231,41.727,38.2866,54.7795,37.5774,27.6658,41.5667,52.5747,69.5152,27.4769,30.3893,39.6205,54.3405,68.7211,30.7562,31.3337,40.0477,68.8873,80.0358,26.5359,37.2059,50.2559,56.967,98.0392
193208,49.495,94.6241,82.8825,83.8394,100.3773,34.3849,67.0166,56.4447,59.402,89.9724,54.6595,39.7036,46.8716,69.4053,74.3792,29.2301,43.7066,65.8778,63.5623,86.604,30.9221,35.1841,47.4496,52.0435,65.3465
193209,-27.027,-11.0603,-16.3193,-4.5548,-17.1356,-0.7174,-6.3692,-5.4914,-8.2333,-12.5966,-5.2401,-7.8092,-2.7272,-11.8534,-9.4062,0.6576,-4.429,-8.4416,-6.9258,-8.9044,0.5101,-6.4866,-8.4468,-2.8222,15.5689
193210,-9.2593,-13.1779,-26.4345,-20.361,-19.7915,-12.4439,-21.9808,-17.3273,-24.4888,-22.5008,-14.7872,-15.8912,-21.3712,-23.626,-25.6989,-11.0973,-17.8682,-19.2088,-20.3455,-25.6917,-11.3331,-9.799,-15.3346,-19.3893,-30.0518
193211,-26.5306,-13.2958,-8.2868,-10.7934,-7.312,-3.9727,-7.5773,-8.5018,-7.9145,-17.438,-3.7696,-1.1263,-8.6184,-11.1244,-15.1052,2.504,-5.0822,-9.2356,-15.3017,-19.983,-3.2596,-1.8593,-10.3618,-8.4886,-31.1111
193212,6.9444,-11.8895,-2.5648,-12.6054,-16.2939,-18.7311,-16.2821,-2.7539,-11.7536,-7.5907,-2.2114,3.172,1.1864,-4.7687,-6.6153,4.002,0.1585,1.2677,0.5351,-9.9337,7.2393,7.3672,1.5565,-7.5497,15.0538
193301,57.1429,-0.9456,1.5203,-7.1322,3.6981,7.544,6.015,3.5923,5.5089,7.6263,1.512,6.8342,2.2288,3.473,12.8154,2.3969,3.4547,4.5111,6.0007,16.5315,-0.3123,-0.4417,4.7568,3.9118,14.9533
193302,-44.6281,-18.832,-17.9897,-14.5265,-15.9034,-26.774,-26.6756,-20.124,-20.1491,-21.0749,-16.5311,-17.6144,-18.4226,-19.6631,-19.7892,-13.3752,-16.2958,-13.7937,-12.4654,-22.9726,-14.6858,-17.2065,-15.2692,-17.534,-24.3902
193303,-16.4179,7.1789,-4.8469,5.6542,18.5025,14.2512,10.1934,3.2118,13.074,21.9814,0.0256,10.2408,6.169,14.7931,8.7236,10.4075,11.8193,15.8739,10.1285,7.9911,-0.1507,5.338,6.445,7.636,7.5269
193304,7.1429,50.5316,78.5247,48.4433,48.2387,28.2345,46.2985,62.4374,63.8479,53.2494,47.1755,39.9642,60.8932,53.8629,63.9465,35.2355,53.5838,55.4623,44.3567,74.4518,32.5595,39.3502,46.9811,60.7343,52
193305,73.3333,126.0468,69.1368,103.1955,100.5049,76.4962,78.1179,75.5124,80.3191,58.1352,56.9713,38.9164,43.2502,58.5109,51.1793,22.7999,32.3924,33.2499,40.1926,62.8422,17.2687,14.3952,21.2515,32.8179,25
193306,73.0769,60.3142,42.4774,27.2743,24.3271,23.5274,15.3904,22.2313,19.8472,18.9798,29.0571,13.6017,14.9144,17.388,33.2826,12.4047,12.6069,14.4468,17.6313,14.8337,11.1486,13.203,14.8023,20.7261,4.7368
193307,-3.2258,-11.9385,-8.1092,-1.4308,-6.353,-9.6925,-15.6326,-9.6433,-11.6557,1.2016,-9.4051,-14.5359,-13.7128,-16.7059,-18.0049,-10.1904,-9.5287,-14.7245,-11.7434,-6.5447,-8.4245,-11.4914,-12.1215,-10.1514,-7.5876
193308,0,7.3704,4.7988,5.7985,1.5506,6.1015,8.6982,10.0746,7.369,6.4516,12.5658,19.4094,14.5541,12.6686,16.3556,14.8358,16.7706,14.5085,17.47,21.3286,8.8207,16.4269,15.7637,13.7014,23.655
193309,-16.6667,-13.0863,-19.889,-16.8758,-17.0381,-3.091,-11.2919,-17.1874,-12.8084,-26.1686,-13.5331,-8.6121,-13.7347,-15.4682,-25.6755,-6.4791,-11.1224,-17.8004,-9.9278,-22.0871,-9.8922,-7.0856,-11.5409,-17.3735,-27.2596
193310,-12,-15.5561,-6.0883,-10.1865,-16.0932,-12.3468,-9.7684,-13.5291,-13.1222,-8.9748,-7.1621,-8.8986,-12.7307,-15.0521,-14.6649,-4.6365,-7.6931,-10.2184,-14.583,-19.1997,-6.7924,-4.6871,-10.7898,-17.429,-19.1524
193311,0,3.1602,-1.4531,12.1594,8.7087,2.7474,7.1067,3.9726,7.6369,-0.1905,6.9345,5.0099,7.9388,4.3385,10.0793,5.3175,11.4481,7.3812,9.1372,10.9693,9.9667,10.0638,14.2458,15.3305,9.1554
193312,-36.3636,-2.9947,-7.6441,-1.6568,2.6371,10.6117,7.6397,7.5132,-2.1142,-1.0289,-0.6688,3.2294,7.0191,3.6329,5.3274,0.3153,1.6666,8.3955,-1.2411,7.6462,1.8935,1.8534,0.6438,5.4488,7.9203
193401,100,44.8157,46.1576,40.1914,40.9417,24.7187,19.8573,31.7635,31.8624,50.0577,45.6786,20.0965,25.6602,25.3005,32.278,11.5811,14.0413,25.5514,20.3429,28.8641,9.7599,9.4687,16.0582,17.192,37.913
193402,-14.2857,12.0775,3.8473,12.1266,6.2322,2.4842,1.1023,3.0486,-1.2087,9.3432,0.2859,1.6156,4.3698,3.5793,0.3964,-3.234,-1.2804,-3.0728,0.8042,0.4373,-2.4166,-2.5396,-4.5106,-5.5368,-5.3839
193403,8.3333,-0.8893,1.7648,4.0927,-2.4705,1.9295,2.5013,0.9784,1.2157,3.0666,6.1411,3.494,1.0165,-1.2944,-4.4693,1.8194,1.2705,0.7402,-0.8135,0.1178,-0.0423,0.0449,-1.3248,-0.8676,0.5379
193404,0,2.3916,5.6678,5.4309,-0.273,7.8911,2.1142,-3.5288,1.0808,-7.0056,-3.5226,-2.0004,-2.5267,-0.8467,-3.1955,-0.4161,-0.0362,0.0811,-5.6728,-6.6942,-2.0314,-1.1613,-2.016,-5.7447,-5.7601
193405,-11.5385,-9.1744,-13.0676,-12.7474,-16.7213,-8.9246,-8.7235,-10.8651,-12.3294,-6.0553,-7.0503,-7.4717,-9.9029,-8.5264,-14.5021,-5.8478,-7.1857,-11.0907,-8.4325,-15.1982,-6.4137,-6.9411,-6.3953,-13.3485,-18.7982
193406,-21.7391,-3.143,2.6837,-1.1054,0.4184,4.0453,2.0913,-2.3827,-0.6749,-11.2815,3.2382,3.795,-0.1932,2.0789,-0.0447,3.945,3.3172,2.2417,6.0039,-0.8835,2.1943,2.9055,3.0438,3.2078,4.8717
193407,-20.3723,-30.1093,-27.6738,-23.8812,-23.2441,-20.152,-16.9599,-23.3663,-26.5694,-23.8974,-16.5513,-16.6412,-16.0232,-20.0443,-24.4269,-12.3324,-10.0696,-14.0315,-18.4568,-35.3549,-7.0614,-8.227,-14.6218,-18.2933,-30.843
193408,15.1231,18.6339,9.715,11.8906,12.9363,14.7217,7.2973,8.8462,13.5462,10.643,7.8734,9.2661,7.9258,12.5321,8.3544,6.059,6.6373,5.0587,10.1757,11.5814,5.5843,5.2104,4.7168,2.3771,8.5384
193409,-1.8045,-10.0535,-2.4309,-0.9686,-2.5535,-1.9572,-0.3102,-3.2062,-1.8114,-4.3733,-2.0818,1.6554,-0.2551,-2.5464,-0.665,-1.1365,0.5107,-0.7496,-1.0348,2.1654,0.0835,-0.2587,-0.5687,-1.1606,2.3732
193410,2.8464,0.1706,-1.6112,-9.2168,-2.5561,-6.0012,1.4082,-1.9739,-1.3743,-4.9708,1.2928,-0.3989,1.346,-5.5596,-7.0341,0.1766,0.7144,1.8023,-10.1332,-9.9682,0.6224,-1.8356,-5.7807,-6.1478,-7.2439
